,0
0,Indiana
1,Louisiana
2,Maryland
3,Minnesota
4,Missouri
5,Montana
6,Nebraska
7,Nevada
8,New Hampshire
9,New Jersey
10,New Mexico
11,New York
12,North Carolina
13,North Dakota
14,Ohio
15,Oklahoma
16,Oregon
17,Pennsylvania
18,Rhode Island
19,South Carolina
20,South Dakota
21,Tennessee
22,Texas
23,Utah
24,Vermont
25,Virginia
26,Washington
27,West Virginia
28,Wisconsin
